collection_id	collection_name	yoyo_id	primary_store
10652	Herd Collection	steelforme-herd-collection	yv
10653	Ikon Collection	steelforme-ikon-collection	yv
10654	Pi Collection	steelforme-pi-collection	yv
10655	Stones Collection	steelforme-stones-collection	yv
10656	Cylinda-Line	stelton-cylinda-line-collection	yv
10657	Beat	tom-dixon-beat-collection	yv
10658	Cell		
10659	Cone Light		
10660	Etch	tom-dixon-etch-collection	yv
10661	Felt		
10662	Flash		
10663	Fluoro		
10664	Form	tom-dixon-form-collection	yv
10665	Gem	tom-dixon-gem-collection	yv
10666	Lustre		
10667	Offcut Stool		
10668	Pressed Glass		
10669	Scoop		
10670	Slab		
10671	Spin		
10672	Step Light		
10673	Aimes	toto-aimes-collection	yb
10674	Aquia	toto-aquia-collection	yb
10675	Legato	toto-legato-collection	yb
10676	Lloyd	toto-lloyd-collection	yb
10677	Neorest	toto-neorest-collection	yb
10678	Soiree	toto-soiree-collection	yb
10679	11 Ply	true-modern-11-ply-collection	yv
10680	Circa	true-modern-circa-collection	yv
10681	Dane	true-modern-dane-collection	yv
10682	diggity	true-modern-diggity-collection	yv
10683	George	true-modern-george-collection	yv
10684	Hamlin	true-modern-hamlin-collection	yv
10685	Jackson	true-modern-jackson-collection	yv
10686	Luna	true-modern-luna-collection	yv
10687	Marfa	true-modern-marfa-collection	yv
10688	0.03		
10689	Alcove		
10690	Algue		
10691	Cone		
10692	Eames		
10693	Elephant		
10694	HAL		
10695	Miniatures	vitra-miniatures-collection	yv
10696	Noguchi		
10697	Organic		
10698	Panton		
10699	Place		
10700	Polder		
10701	Prouve	vitra-prouve-collection	yv
10702	Repos		
10703	Slow		
10704	Suita		
10705	Wiggle		
10706	Zoo Timer		
10707	Adan		
10708	Blow		
10709	Doux		
10710	Faz	vondom-faz-collection	yv
10711	Frame		
10712	Jut	vondom-jut-collection	yv
10713	Moma		
10714	Pal		
10715	Pillow		
10716	Rest	vondom-rest-collection	yv
10717	Sabinas		
10718	Spaghetti		
10719	Stones		
10720	Surf		
10721	Vela	vondom-vela-collection	yv
10722	Vertex		
10723	Wing		
10724	Bistro 750	york-wallcoverings-bistro-750-collection	yv
10725	Candice Olson Dimensional Surfaces	york-wallcoverings-candice-olson-dimensional-surfaces-collection	yv
10726	Candice Olson Shimmering Details	york-wallcoverings-candice-olson-shimmering-details-collection	yv
10727	Modern Rustic	york-wallcoverings-modern-rustic-collection	yv
10728	Patent ecor 3d	york-wallcoverings-patent-decor-3d-collection	yv
10729	Risky Business II	york-wallcoverings-risky-business-ii-collection	yv
10730	Tres Chic	york-wallcoverings-tres-chic-collection	yv
10731	Bei Collection		
10732	Sig Wilson Collection		
10733	Tirache Collection		
10734	Torson Collection		
10735	Veneziano Collection		
10736	Wine Tasting Esperienze Collection		
10737	Wine Tasting Nuove Esperienze Collection		
10738	Wine Tasting Venezia Collection		
11237	Adolight		
11238	Julieta		
11239	L		
11240	Marc		
11241	Parabola		
11242	Quadrat		
11246	Tree		
11247	Cielo		
11248	LED Collection		
14009	Eve		
14007	Eve		
14006	Fast		
14005	Marquette		
12449	Harlequin		
12450	Magellan		
12451	Cylindricus		
12452	Penelope		
12453	Williamsburg		
12454	Zoltar		
12455	Mason		
12459	Geo Track		
12463	Iris		
12464	Tulip		
12465	Lotus		
12466	Cocoon		
12467	Bloom		
12468	Wave		
12469	Expose		
12472	Classic		
12473	Tlon		
12474	Counterweight		
12475	Endless		
12476	Mini Endless		
12477	Rudi		
12478	Phase	graff-phase-collection	yb
12479	Terra	graff-terra-collection	yb
12482	Alto Collection	spot-on-square-alto-collection	yv
12483	Connect Sofa		
12484	Olso		
12485	Reflect		
12486	Visu		
12488	Halo		
14004	Parfait		
14010	Cafe Parfait		
14002	M2		
12618	Domino		
12619	One		
12620	Pat		
12621	Soffi		
12622	Stelth		
12628	Belvedere		
12630	In Bloom		
12631	Galaxy		
12632	Tranquil Woods		
12633	Alphabets		
12634	Sheet Sets		
12636	Kiwami Renesse		
13999	Slam		
14000	Valeri		
14001	Quarry		
12637	Vintage Platinum		
12641	Campfire	turnstone-campfire-collection	yv
12640	Bivi	turnstone-bivi-collection	yv
12639	Modica		
12638	Aspect		
13998	HiFi		
13997	Logan		
13996	Switch		
12753	Big Bubbles		
12754	Jewel		
12755	Tiara		
12756	Riddle		
12757	Oyster		
12759	Agnes		
12760	Excel		
12761	Santorini		
12762	Bevel	herman-miller-bevel-collection	yv
12763	Bolster	herman-miller-bolster-collection	yv
12770	Cog	tom-dixon-cog-collection	yv
12772	Affetto	ceramica-globo-affetto-collection	yb
12773	Bowl+	ceramica-globo-bowl-plus-collection	yb
12774	Classic	ceramica-globo-classic-collection	yb
12775	Globoconcept	ceramica-globo-globoconcept-collection	yb
12776	Stone	ceramica-globo-stone-collection	yb
12780	Nenufar		
12783	Enola		
12784	Light Eye		
12785	Para		
14012	Allure Brilliant		
14013	Allure		
14014	Atrio		
14015	BauLoop		
14016	Essence		
14017	Veris		
14021	Allure Brilliant		
14022	Allure		
14023	Atrio		
14024	BauLoop		
14025	Essence		
14026	Veris		
14027	Axis		
