designer_id	designer_name	yoyo_id	primary_store
9603	Pier Paolo Pitacco	designer-pier-paolo-pitacco	yv
9604	Pierre Charpin	designer-pierre-charpin	yv
9605	Pierre Paulin RDI	designer-pierre-paulin	yv
9606	Pio Manzu	designer-pio-manzu	yv
9607	Piotr Woronkowicz	designer-piotr-woronkowicz	yv
9608	Peter Raake	designer-prof-peter-raake	yv
9609	Quentin De Coster	designer-quentin-de-coster	yv
9610	Ralph Kramer	designer-ralph-kramer	yv
9611	Ralph Rapson	designer-ralph-rapson	yv
9612	Reinhard Dienes	designer-reinhard-dienes	yv
9613	Rene Holten	designer-rene-holten	yv
9614	Renzo Piano	designer-renzo-piano	yv
9615	Reverso	designer-reverso	yv
9616	Richard Schultz	designer-richard-schultz	yv
9617	Rikke Hagen	designer-rikke-hagen	yv
9618	Rob Brandt		
9619	Roberto Giacomucci	designer-roberto-giacomucci	yv
9620	Rodolfo Bonetto		
9621	Rodrigo Torres		
9622	Roger Arquer	designer-roger-arquer	yv
9623	Roland Kreiter	designer-roland-kreiter	yv
9624	Rolf Sinnemark		
9625	Roman Vrtiska	designer-roman-vrtiska	yv
9626	Rosita Missoni	designer-rosita-missoni	yv
9627	Ross Mcbride	designer-ross-mcbride	yv
9628	Ryusaku Kawashima		
9629	Sandra Figuerola	designer-sandra-figuerola	yv
9630	Sarah Bottger	designer-sarah-bottger	yv
9631	Sas Adriaenssens	designer-sas-adriaenssens	yv
9632	Scholten And Baijings	designer-scholten-and-baijings	yv
9633	Scott Dergance	designer-scott-dergance	yv
9634	Scott Henderson	designer-scott-henderson	yv
9635	Scott Wilson	designer-scott-wilson	yv
9636	Sebastian Bergne	designer-sebastian-bergne	yv
9637	Sebastian David Buescher	designer-sebastian-david-buescher	yv
9638	Sergio Mian	designer-sergio-mian	yv
9639	Setsu &amp; Shinobu Ito	designer-setsu-e-shinobu-ito	yv
9640	Shelton Mindel	designer-shelton-mindel	yv
9641	Shin Azumi	designer-shin-azumi	yv
9642	Shu Wang	designer-shu-wang	yv
9643	Simon James	designer-simon-james	yv
9644	Simon Karkov	designer-simon-karkov	yv
9645	Sir Terry Frost		
9646	Slide Studio		
9647	Soren Rose Studio	designer-soren-rose	yv
9648	Sori Yanagi	designer-sori-yanagi	yv
9649	Space	designer-space	yv
9650	S.T.C.	designer-stc	yv
9651	Stefan Diez		
9652	Stefano Cavazzana, S.T.C.	designer-stefano-cavazzana	yv
9653	Stefano Marzano		
9654	Stephan Copeland	designer-stephan-copeland	yv
